Watching for file changes with StatReloader
"GET /admin/fitness/fitnessclass/add/ HTTP/1.1" 200 12583
"GET /static/admin/css/forms.css HTTP/1.1" 304 0
"GET /static/admin/js/core.js HTTP/1.1" 304 0
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
"GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
"GET /static/admin/js/actions.js HTTP/1.1" 304 0
"GET /static/admin/js/urlify.js HTTP/1.1" 304 0
"GET /static/admin/js/calendar.js HTTP/1.1" 304 0
"GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
"GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
"GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
"GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 304 0
"GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
"GET /static/admin/js/change_form.js HTTP/1.1" 200 606
"GET /static/admin/css/widgets.css HTTP/1.1" 200 11991
"GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
"GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
"POST /book/ HTTP/1.1" 201 125
"POST /book/ HTTP/1.1" 201 125
"POST /book/?id=1 HTTP/1.1" 201 125
"GET /admin/auth/user/ HTTP/1.1" 200 13144
"GET /static/admin/img/search.svg HTTP/1.1" 200 458
"GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
"GET /static/admin/css/changelists.css HTTP/1.1" 304 0
"GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
"GET /static/admin/css/base.css HTTP/1.1" 304 0
"GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
"GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
"GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
"GET /static/admin/js/theme.js HTTP/1.1" 304 0
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /static/admin/js/core.js HTTP/1.1" 304 0
"GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
"GET /static/admin/js/filters.js HTTP/1.1" 200 978
"GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
"GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
"GET /static/admin/js/actions.js HTTP/1.1" 304 0
"GET /static/admin/js/urlify.js HTTP/1.1" 304 0
"GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
"GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
"GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
"GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
"GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
"GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
"GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
"GET /admin/auth/group/ HTTP/1.1" 200 9087
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /admin/fitness/booking/ HTTP/1.1" 200 10921
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /admin/fitness/fitnessclass/ HTTP/1.1" 200 10863
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"POST /book/ HTTP/1.1" 201 132
"GET /bookings/?email=sankar@gmail.com HTTP/1.1" 200 2
"GET /bookings/?email=sankar@example.com HTTP/1.1" 200 134
"POST /book/ HTTP/1.1" 201 132
"GET /bookings/?email=sankar@example.com HTTP/1.1" 200 267
Bad Request: /book/
"POST /book/ HTTP/1.1" 400 63
Bad Request: /bookings/
"GET /bookings/ HTTP/1.1" 400 46
"GET /admin/fitness/fitnessclass/ HTTP/1.1" 200 10863
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /admin/fitness/fitnessclass/ HTTP/1.1" 200 10863
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /admin/fitness/booking/ HTTP/1.1" 200 11497
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /admin/fitness/booking/4/change/ HTTP/1.1" 200 12486
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
"GET /static/admin/css/forms.css HTTP/1.1" 200 8525
"GET /static/admin/js/change_form.js HTTP/1.1" 304 0
"GET /static/admin/css/widgets.css HTTP/1.1" 304 0
"GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
"GET /admin/auth/user/ HTTP/1.1" 200 13144
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /classes/ HTTP/1.1" 200 380
Bad Request: /bookings/
Bad Request: /book/
Watching for file changes with StatReloader
"POST /book/ HTTP/1.1" 201 140
C:\Users\A\PycharmProjects\Boookings\fitness\views.py changed, reloading.
Watching for file changes with StatReloader
C:\Users\A\PycharmProjects\Boookings\fitness\views.py changed, reloading.
Watching for file changes with StatReloader
Not Found: /
"GET / HTTP/1.1" 404 2954
"GET /admin/ HTTP/1.1" 200 8527
"GET /static/admin/css/base.css HTTP/1.1" 304 0
"GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
"GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
"GET /static/admin/js/theme.js HTTP/1.1" 304 0
"GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
"GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
"GET /static/admin/css/responsive.css HTTP/1.1" 304 0
"GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
"GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
"GET /admin/fitness/booking/ HTTP/1.1" 200 11788
"GET /static/admin/js/jquery.init.js HTTP/1.1" 304 0
"GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 304 0
"GET /static/admin/js/filters.js HTTP/1.1" 200 978
"GET /admin/jsi18n/ HTTP/1.1" 200 3342
"GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 304 0
"GET /static/admin/css/changelists.css HTTP/1.1" 304 0
"GET /static/admin/js/core.js HTTP/1.1" 304 0
"GET /static/admin/js/actions.js HTTP/1.1" 304 0
"GET /static/admin/js/urlify.js HTTP/1.1" 304 0
"GET /static/admin/js/prepopulate.js HTTP/1.1" 304 0
"GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 304 0
Not Found: /favicon.ico
- Broken pipe from ('127.0.0.1', 52055)
"GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
"GET /admin/fitness/fitnessclass/ HTTP/1.1" 200 10863
